Name;Price;Review;Score;Image;Subcategory;URL;Platform;Store;Category;brand;historical_sold;view_count;shop_location;enToken;thToken
SanDisk Extreme microSD 64GB ความเร็วเขียน 160MB/s อ่าน 90MB/s (SDSQXA2_064G_GN6MA) เมมโมรี่ แซนดิส สำหรับ Gopro;375;2;5.0;https://img.jd.co.th/n1/jfs/t31/62/3897666145/228493/6cfb1787/5f9a6a4dN2e41aaf2.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12785335.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme microSD 64GB 160MB s 90MB s SDSQXA2 064G GN6MA Gopro ;64 ความเร็วเขียน 160 อ่าน 90 2 064 6 เมมโมรี่ แซนดิส สำหรับ 
32 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA CLASS 10 A1 (SDSQUA4-032G-GN6MN) SDSQUA4-032G-GN6MN 32GB;165;6;5.0;https://img.jd.co.th/n1/jfs/t34/219/4078814110/58441/2efda475/5fa905f3N587630ef.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_13369403.html;JDCentral;JIB Computer Group Authorized Store;อุปกรณ์เสริมกล้อง;;;;;32 GB MICRO SD CARD SANDISK ULTRA CLASS 10 A1 SDSQUA4-032G-GN6MN SDSQUA4-032G-GN6MN 32GB ;32 ไมโครเอสดีการ์ด 10 1 4-032 - 6 4-032 - 6 32 
256 GB MICRO SD CARD (ไมโครเอสดีการ์ด) KINGSTON CANVAS SELECT PLUS (SDCS2/256GB);990;0;0.0;https://img.jd.co.th/n1/jfs/t19/359/4442626588/277110/e636f7f2/5fb7473eN234b885d.png!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_13455012.html;JDCentral;JIB Computer Group Authorized Store;อุปกรณ์เสริมกล้อง;;;;;256 GB MICRO SD CARD KINGSTON CANVAS SELECT PLUS SDCS2 256GB ;256 ไมโครเอสดีการ์ด 2 256 
Xiaomi ของแท้ ไม้เซลฟี่ไร้สาย 2in1 เป็นขาตั้งกล้อง มีรีโมท เชื่อมบลูทูธ มือถือทุกรุ่นใช้ได้ MI Selfie Stick Tripod Wireless Bluetooth;399;9;5.0;https://img.jd.co.th/n1/jfs/t10/89/7596412911/220326/ebd1c50d/609b90f9Na669e85a.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_13577160.html;JDCentral;L&U Global Store;อุปกรณ์เสริมกล้อง;;;;;Xiaomi 2in1 MI Selfie Stick Tripod Wireless Bluetooth ;ของแท้ ไม้เซลฟี่ไร้สาย 2 1 เป็นขาตั้งกล้อง มีรีโมท เชื่อมบลูทูธ มือถือทุกรุ่นใช้ได้ 
64 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA CLASS 10 A1 (SDSQUA4-064G-GN6MN)_6101049632 SDSQUA4-064G-GN6MN 64GB;250;19;5.0;https://img.jd.co.th/n1/jfs/t22/56/2846255483/392748/600146f9/5fd9d1feN42577f16.png!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_13745558.html;JDCentral;JIB Computer Group Authorized Store;อุปกรณ์เสริมกล้อง;;;;;64 GB MICRO SD CARD SANDISK ULTRA CLASS 10 A1 SDSQUA4-064G-GN6MN 6101049632 SDSQUA4-064G-GN6MN 64GB ;64 ไมโครเอสดีการ์ด 10 1 4-064 - 6 6101049632 4-064 - 6 64 
SanDisk High Endurance microSD 32GB (SDSQQNR-032G-GN6IA) สำหรับกล้องวงจรปิด ความเร็วสูงสุดอ่าน 100 MB/s เขียน 40 MB/s;269;36;5.0;https://img.jd.co.th/n1/jfs/t28/305/383210281/126039/8103ceac/5cf92156Nba578490.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1396627.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk High Endurance microSD 32GB SDSQQNR-032G-GN6IA 100 MB s 40 MB s ;32 -032 - 6 สำหรับกล้องวงจรปิด ความเร็วสูงสุดอ่าน 100 เขียน 40 
SanDisk High Endurance 64GB microSD Card (SDSQQNR_064G_GN6IA) mro เมมโมรี่การ์ด สำหรับ กล้องติดรถยนต์ และ กล้อง วงจรปิด;359;43;4.9;https://img.jd.co.th/n1/jfs/t7/244/678683219/126667/9aef696c/5cf916d7Ne489ab98.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1396628.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk High Endurance 64GB microSD Card SDSQQNR 064G GN6IA mro ;64 064 6 เมมโมรี่การ์ด สำหรับ กล้องติดรถยนต์ และ กล้อง วงจรปิด 
SanDisk Extreme Pro microSDXC 64GB A2 ความเร็วสูงสุด อ่าน 170MB/s เขียน 90MB/s mrm (SDSQXCY_064G_GN6MA);475;43;4.9;https://img.jd.co.th/n1/jfs/t25/9/192819936/159783/9b1166b3/5bb644edN900a39c6.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1934788.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme Pro microSDXC 64GB A2 170MB s 90MB s mrm SDSQXCY 064G GN6MA ;64 2 ความเร็วสูงสุด อ่าน 170 เขียน 90 064 6 
SanDisk Extreme microSDXC UHS-I A2 64GB ความเร็วสูงสุด อ่าน 160MB/s เขียน 90MB/s mrm (SDSQXA2-064G-GN6MN);369;36;4.85;https://img.jd.co.th/n1/jfs/t13/363/193222204/162205/c0fa5ab0/5bb641b8N9548de68.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1934795.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme microSDXC UHS-I A2 64GB 160MB s 90MB s mrm SDSQXA2-064G-GN6MN ;- 2 64 ความเร็วสูงสุด อ่าน 160 เขียน 90 2-064 - 6 
SanDisk Extreme microSDXC UHS-I A2 128GB ความเร็วสูงสุด อ่าน 160MB/s เขียน 90MB/s mrm (SDSQXA1-128G-GN6MN) 128G 128GB;639;33;5.0;https://img.jd.co.th/n1/jfs/t4/21/201163385/162312/8d2b9f5/5bb64353N532db2d9.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1934803.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme microSDXC UHS-I A2 128GB 160MB s 90MB s mrm SDSQXA1-128G-GN6MN 128G 128GB ;- 2 128 ความเร็วสูงสุด อ่าน 160 เขียน 90 1-128 - 6 128 128 
SanDisk Extreme Pro microSDXC 128GB A2 ความเร็วสูงสุด อ่าน 170MB/s เขียน 90MB/s mrm (SDSQXCY_128G_GN6MA);849;33;5.0;https://img.jd.co.th/n1/jfs/t7/21/194656834/159663/8bf5aa04/5bb64620N790d8fc6.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1934806.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme Pro microSDXC 128GB A2 170MB s 90MB s mrm SDSQXCY 128G GN6MA ;128 2 ความเร็วสูงสุด อ่าน 170 เขียน 90 128 6 
Sandisk Ultra microSDXC Card Class10 A1 64GB อ่าน 120MB/s (SDSQUA4-064G-GN6MN) เมมโมรี่ แซนดิส โทรศัพท์ แท็บเล็ต Andriod;275;33;5.0;https://img.jd.co.th/n1/jfs/t10/316/11343039691/90249/cb5de903/623370e6N2ebb40b7.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1963331.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;Sandisk Ultra microSDXC Card Class10 A1 64GB 120MB s SDSQUA4-064G-GN6MN Andriod ;10 1 64 อ่าน 120 4-064 - 6 เมมโมรี่ แซนดิส โทรศัพท์ แท็บเล็ต 
SanDisk Ultra microSDXC ความเร็ว 120MB/s ความจุ 128GB (SDSQUA4_128G_GN6MN) เมมโมรี่ แซนดิส ประกัน Synnex 10 ปี;515;20;4.75;https://img.jd.co.th/n1/jfs/t7/284/11343910962/115711/8b9ad687/62337f02N5e849af0.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1963338.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;SanDisk Ultra microSDXC 120MB s 128GB SDSQUA4 128G GN6MN Synnex 10 ;ความเร็ว 120 ความจุ 128 4 128 6 เมมโมรี่ แซนดิส ประกัน 10 ปี 
SanDisk microSDHC Ultra ความเร็ว 100MB/S ความจุ 32GB Class10 (SDSQUNR-032G-GN3MN) เมมโมรี่ แซนดิส;195;73;4.95;https://img.jd.co.th/n1/jfs/t7/211/3647486285/288251/9ca86519/5f534a24N27e59f1b.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_1963347.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;SanDisk microSDHC Ultra 100MB S 32GB Class10 SDSQUNR-032G-GN3MN ;ความเร็ว 100 ความจุ 32 10 -032 - 3 เมมโมรี่ แซนดิส 
Kingston 32GB NEW Canvas Select Plus MicroSDHC Class10 100 MB/s Read Memory Card + SD Adapter;139;61;4.65;https://img.jd.co.th/n1/jfs/t1/111/3841907540/131039/c418d3d0/5fe4626fN84acdfe6.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2052876.html;JDCentral;Kingston Authorized Store;อุปกรณ์เสริมกล้อง;;;;;Kingston 32GB NEW Canvas Select Plus MicroSDHC Class10 100 MB s Read Memory Card + SD Adapter ;32 10 100 + 
Kingston 64GB Canvas Select MicroSDXC Class 10 100 Mbs/ Memory Card + SD Adapterr (SDCS2/64GB);239;29;5.0;https://img.jd.co.th/n1/jfs/t31/341/4347722729/130904/1e1d290d/5fe463c7Ne53f8f75.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2052892.html;JDCentral;Kingston Authorized Store;อุปกรณ์เสริมกล้อง;;;;;Kingston 64GB Canvas Select MicroSDXC Class 10 100 Mbs Memory Card + SD Adapterr SDCS2 64GB ;64 10 100 + 2 64 
Kingston 256GB NEW Canvas Select Plus MicroSDXC Class 10 100/85 MB/s Memory Card + SD Adapter (SDCS2/256GB);1250;1;5.0;https://img.jd.co.th/n1/jfs/t31/328/4339053376/129286/2ba0f63e/5fe46380N5adc4e2c.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2052913.html;JDCentral;Kingston Authorized Store;อุปกรณ์เสริมกล้อง;;;;;Kingston 256GB NEW Canvas Select Plus MicroSDXC Class 10 100 85 MB s Memory Card + SD Adapter SDCS2 256GB ;256 10 100 85 + 2 256 
SanDisk ไมโครเอสดีการ์ด รุ่น Extreme;419;180;4.95;https://img.jd.co.th/n1/jfs/t4/226/6049368/26871/842fafcd/5b23c9d7N8aafe97b.JPG!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_210279.html;JDCentral;JD CENTRAL;อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme ;ไมโครเอสดีการ์ด รุ่น 
SanDisk Ultra microSDXC ความจุ 64GB (SDSQUA4-064G-GN6MN) ความเร็วอ่านสูงสุด 120 MB/s;279;116;4.95;https://img.jd.co.th/n1/jfs/t16/299/8496905/137694/700682d1/5b228e86Nb0e91162.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_216679.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Ultra microSDXC 64GB SDSQUA4-064G-GN6MN 120 MB s ;ความจุ 64 4-064 - 6 ความเร็วอ่านสูงสุด 120 
SanDisk Ultra microSDHC 32GB (SDSQUA4-032G-GN6MN) Max Speed Read 120 MB/s;179;110;5.0;https://img.jd.co.th/n1/jfs/t13/286/10004802/60844/d62e6408/5b228a96N002a8326.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_216699.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Ultra microSDHC 32GB SDSQUA4-032G-GN6MN Max Speed Read 120 MB s ;32 4-032 - 6 120 
SanDisk Ultra microSDXC 256GB (SDSQUA4-256G-GN6MN) Max Speed Read 120 MB/s;899;28;5.0;https://img.jd.co.th/n1/jfs/t7/301/7037544/33518/f95204e1/5b229216N53094769.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_216748.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Ultra microSDXC 256GB SDSQUA4-256G-GN6MN Max Speed Read 120 MB s ;256 4-256 - 6 120 
Sandisk Ultra MicroSD ความเร็ว 100MB/s ความจุ 64GB Class10 mro (SDSQUNR_064G_GN3MN);240;212;4.95;https://img.jd.co.th/n1/jfs/t1/36/2445319749/218255/90472eb2/5f0e7cf3N9e0705c2.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_226979.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;Sandisk Ultra MicroSD 100MB s 64GB Class10 mro SDSQUNR 064G GN3MN ;ความเร็ว 100 ความจุ 64 10 064 3 
Sandisk MicroSDHC Ultra ความเร็ว 100MB/S ความจุ 32GB Class10 (SDSQUNR_032G_GN3MN);149;178;4.95;https://img.jd.co.th/n1/jfs/t13/318/7871074/66616/b32f98e1/5b24eb39N9915d36f.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_226993.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;Sandisk MicroSDHC Ultra 100MB S 32GB Class10 SDSQUNR 032G GN3MN ;ความเร็ว 100 ความจุ 32 10 032 3 
(แพ็คคู่ 32GB สุดคุ้ม) Sandisk MicroSD Ultra Class 10 100MB/S (SDSQUNR-032G-GN3MN *2 ) รับประกัน 7ปี สีขาวเทา;307;74;4.8;https://img.jd.co.th/n1/jfs/t16/15/356797082/145385/469ab6db/5bfc9699N54ca5d60.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2386039.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;32GB Sandisk MicroSD Ultra Class 10 100MB S SDSQUNR-032G-GN3MN *2 7 ;แพ็คคู่ 32 สุดคุ้ม 10 100 -032 - 3 *2 รับประกัน 7ปี สีขาวเทา 
แพ็คคู่ 32GB สุดคุ้ม Sandisk Ultra MicroSD 120MB/S A1 (SDSQUA4-032G-GN6MN) 2 ชิ้น สุดคุ้ม ประกัน 10ปี (แดง เทา);378;60;4.9;https://img.jd.co.th/n1/jfs/t22/29/2796869948/394523/f60935ba/5fd6eb1eNd9518534.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2386073.html;JDCentral;Sandisk Shop;อุปกรณ์เสริมกล้อง;;;;;32GB Sandisk Ultra MicroSD 120MB S A1 SDSQUA4-032G-GN6MN 2 10 ;แพ็คคู่ 32 สุดคุ้ม 120 1 4-032 - 6 2 ชิ้น สุดคุ้ม ประกัน 10ปี แดง เทา 
HUAWEI HONOR WIRELESS BLUETOOTH TRIPOD SELFIE STICK (AF15) ไม้เซลฟี่บลูทูธ หมุนได้360องศา พร้อมรีโมท กว้างสูงสุด 3.5 นิ้ว;613;40;5.0;https://img.jd.co.th/n1/jfs/t28/273/84823376/62655/12075292/5c0a334bN5c9133e2.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2445577.html;JDCentral;Mac Modern Official Store;อุปกรณ์เสริมกล้อง;;;;;HUAWEI HONOR WIRELESS BLUETOOTH TRIPOD SELFIE STICK AF15 360 3.5 ;15 ไม้เซลฟี่บลูทูธ หมุนได้360องศา พร้อมรีโมท กว้างสูงสุด 3.5 นิ้ว 
(พิเศษแพคคู่ 32 GB) Sandisk Ultra Micro SDHC ความเร็ว 100MB/S ความจุ 32GB Class10 (SDSQUNR_032G_GN3MN x 2);295;97;4.95;https://img.jd.co.th/n1/jfs/t10/50/436118268/69118/8c8a46e1/5c3c82fdN1c683645.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2617291.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;32 GB Sandisk Ultra Micro SDHC 100MB S 32GB Class10 SDSQUNR 032G GN3MN x 2 ;พิเศษแพคคู่ 32 ความเร็ว 100 ความจุ 32 10 032 3 2 
SanDisk Extreme Pro SDXC UHS-I SD Card 128GB (SDSDXXY_128G_GN4IN);1179;3;5.0;https://img.jd.co.th/n1/jfs/t16/171/508144984/33110/f71ce23a/5c76c56cN2fceca79.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_2822955.html;JDCentral;SanDisk Official Store (Thailand);อุปกรณ์เสริมกล้อง;;;;;SanDisk Extreme Pro SDXC UHS-I SD Card 128GB SDSDXXY 128G GN4IN ;- 128 128 4 
Ulanzi MT-17 ขาตั้งกล้อง แบบสามขา ขนาดพกพา Ulanzi MT-17;339;0;0.0;https://img.jd.co.th/n1/jfs/t1/111/6908102370/39252/ad40674a/609e78f4N3a9c46cf.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_29027126.html;JDCentral;Ulanzi Thailand;อุปกรณ์เสริมกล้อง;;;;;Ulanzi MT-17 Ulanzi MT-17 ;-17 ขาตั้งกล้อง แบบสามขา ขนาดพกพา -17 
ขาตั้งกล้องเเละมือถือได้ทุกรุ่นTF-3110 เเถม หัวหนีบมือถือฟรี;99;25;4.0;https://img.jd.co.th/n1/jfs/t4/134/660372685/145488/4e160f/5cdfc089Nd119b0ab.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_3204708.html;JDCentral;KNT SHOP;อุปกรณ์เสริมกล้อง;;;;;TF-3110 ;ขาตั้งกล้องเเละมือถือได้ทุกรุ่น -3110 เเถม หัวหนีบมือถือฟรี 
